prospect_id,industry,region,channel,campaign,previous_applications,website_visits,email_opens,email_clicks,sales_contacts,duplicate_application_flag,velocity_flag,gaming_risk_score,ml_anomaly_flag,anomaly_score
100513,Manufacturing,North,Referral,Cashback_Business,4,12,6,4,6,1,0,65,1,0.7042794190070295
116773,Retail,West,Web,Cashback_Business,3,9,1,3,6,1,0,65,1,0.6677359386244163
105233,Manufacturing,South,Paid Search,SME_Growth,3,8,3,3,5,1,0,65,1,0.6407484774449868
123774,Retail,East,Paid Search,Business_Premium,3,8,3,4,4,1,0,65,1,0.6357176646679827
109230,Financial Services,East,Email,Enterprise_Expansion,3,12,5,3,2,1,0,65,1,0.6344353966502633
108198,Professional Services,East,Social,Cashback_Business,3,14,5,3,2,1,0,65,1,0.6339447219857336
115351,Technology,North,Paid Search,SME_Growth,3,7,10,1,3,1,0,65,1,0.6331952068586931
102809,Construction,South,Web,SME_Growth,3,6,1,0,0,1,0,65,1,0.6186300585519154
124491,Professional Services,South,Referral,Startup_Accelerator,3,9,7,3,0,1,0,65,1,0.6155918218297749
124103,Professional Services,East,Referral,Enterprise_Expansion,3,8,1,1,0,1,0,65,1,0.611415875674168
120811,Hospitality,North,Paid Search,Enterprise_Expansion,3,4,0,3,0,1,0,65,1,0.6088149795385247
122521,Retail,South,Email,Cashback_Business,3,7,3,0,0,1,0,65,1,0.6086916337873679
114577,Retail,East,Partner,Business_Premium,3,11,2,2,0,1,0,65,1,0.6071212487672291
110038,Technology,West,Paid Search,Cashback_Business,3,7,4,0,0,1,0,65,1,0.6064652785961474
111589,Financial Services,South,Paid Search,Travel_Corporate,3,6,9,3,1,1,0,65,1,0.6055694235898095
116763,Retail,East,Partner,Business_Premium,3,2,3,2,4,1,0,65,1,0.6054973440647186
111810,Education,East,Partner,SME_Growth,4,4,1,1,4,1,0,65,1,0.6004475033179304
115830,Construction,West,Paid Search,Business_Premium,3,3,5,0,3,1,0,65,1,0.5990325032745175
121366,Logistics,West,Web,Startup_Accelerator,3,4,5,2,5,1,0,65,1,0.5979934722707627
116494,Education,South,Social,SME_Growth,3,10,3,4,2,1,0,65,1,0.5966274710085023
110464,Manufacturing,North,Social,Travel_Corporate,4,5,1,0,2,1,0,65,1,0.5956358979022215
112828,Professional Services,North,Referral,Business_Premium,3,13,4,1,0,1,0,65,1,0.5936940350242926
111225,Manufacturing,East,Email,Travel_Corporate,3,7,1,3,4,1,0,65,1,0.5930410461291253
103373,Manufacturing,West,Sales Outreach,Travel_Corporate,3,10,1,0,1,1,0,65,1,0.5904822880991302
118420,Financial Services,South,Sales Outreach,Business_Premium,3,11,6,1,3,1,0,65,1,0.5892912774236458
113206,Healthcare,South,Social,Startup_Accelerator,3,10,2,0,2,1,0,65,1,0.5872710322894094
103666,Education,East,Sales Outreach,Enterprise_Expansion,3,9,1,0,1,1,0,65,1,0.5856502832066282
109766,Healthcare,East,Email,SME_Growth,3,9,3,1,5,1,0,65,1,0.5853975119788283
112344,Construction,North,Web,Travel_Corporate,4,3,2,2,3,1,0,65,1,0.5846668474778028
122017,Professional Services,East,Email,Travel_Corporate,4,9,1,0,3,1,0,65,1,0.5827653246533396
118829,Education,West,Referral,Travel_Corporate,3,7,3,4,1,1,0,65,1,0.5826550919251938
108073,Construction,South,Referral,Travel_Corporate,3,10,6,2,0,1,0,65,1,0.581497117174056
106363,Retail,East,Sales Outreach,Cashback_Business,3,7,3,3,0,1,0,65,1,0.5811285699823349
122377,Logistics,East,Email,Business_Premium,3,3,3,3,1,1,0,65,1,0.5809494329940351
108877,Financial Services,East,Partner,Startup_Accelerator,3,8,0,2,3,1,0,65,1,0.580948518237958
122538,Financial Services,North,Web,Startup_Accelerator,3,7,2,1,0,1,0,65,1,0.5800020916026333
