industry,prospects,conversions,conversion_rate,avg_revenue,avg_engagement,avg_priority_score,total_expected_net_value
Construction,2428,737,0.3035420098846787,5886917.834843492,20.082248764415155,48.28845277600531,102727176.58
Education,2465,704,0.28559837728194726,5991210.954563894,20.044137931034484,47.12016047258377,103900212.55
Financial Services,2544,774,0.30424528301886794,5483236.744889937,19.96442610062893,48.66150362417512,96582558.37
Healthcare,2488,719,0.2889871382636656,5634887.733118971,19.955466237942122,47.34132006282455,99340549.56
Hospitality,2534,758,0.2991318074191002,5950403.13062352,20.008563535911602,47.682691342190516,118363355.22
Logistics,2527,751,0.297190344281757,5740653.510091017,20.108903838543725,47.959965970966294,110125362.22
Manufacturing,2500,786,0.3144,5785051.7096,20.23424,49.43311603633649,115904159.75
Professional Services,2447,744,0.3040457703310176,5870414.819370658,20.18099713935431,48.32952646047052,112762465.01
Retail,2513,749,0.298050139275766,5694792.328690807,19.959291683247113,47.8999627072547,104750426.99
Technology,2554,757,0.29639780736100235,5886526.129600626,20.111276429130776,47.57066087890467,109978434.69
