prospect_id,industry,region,company_size,annual_revenue,employees,years_in_business,existing_relationship,website_visits,email_opens,email_clicks,sales_contacts,previous_applications,campaign,channel,days_since_last_interaction,engagement_score,converted,expected_revenue,acquisition_cost,expected_net_value,duplicate_application_flag,velocity_flag,gaming_risk_score,high_value_target,created_at,engagement_rate,sales_intensity,revenue_per_employee,is_recent_interaction,is_high_engagement,conversion_probability,customer_segment,ml_anomaly_flag,anomaly_score,expected_value_from_conversion,expected_business_value,risk_adjusted_value,target_priority_score,recommended_action,value_score,propensity_score,engagement_value_score,risk_penalty,marketing_priority_score,priority_band
100000,Hospitality,East,Small,9326261.0,1355,24,1,6,4,1,4,0,Enterprise_Expansion,Referral,64,25.1,0,0.0,1300,-1300.0,0,0,0,0,2026-05-25,0.25,0.5714285714285714,6882.849446494465,0,1,0.6488287384714683,4,0,0.427168645195498,0.0,-1300.0,-1300.0,0.6100819323121607,TARGET_WITH_PERSONALIZED_OFFER,44.59,64.88287384714683,81.022,0.0,61.00819323121608,HIGH
100001,Manufacturing,West,Small,654537.0,1337,32,1,8,1,4,2,2,Business_Premium,Paid Search,61,26.6,0,0.0,2800,-2800.0,0,0,10,0,2026-04-19,4.0,0.2222222222222222,489.5564697083022,0,1,0.7318106724765003,2,0,0.5405452172106233,0.0,-2800.0,-3050.0,0.5684968026144251,TARGET_WITH_PERSONALIZED_OFFER,18.628,73.18106724765003,86.992,5.0,51.84968026144252,HIGH
100002,Education,West,Small,7211754.0,710,11,0,10,6,1,5,1,Business_Premium,Paid Search,95,27.7,0,0.0,2800,-2800.0,0,0,0,0,2026-05-12,0.1666666666666666,0.4545454545454545,10157.4,0,1,0.4611482028328292,4,0,0.519480867817455,0.0,-2800.0,-2800.0,0.4533306912747731,NURTURE_AND_RETARGET,18.628,46.11482028328292,90.30799999999999,0.0,45.333069127477316,MEDIUM
100003,Professional Services,South,Medium,13053583.0,165,30,0,5,6,3,1,0,Enterprise_Expansion,Social,69,20.7,0,0.0,1500,-1500.0,0,0,0,0,2026-04-29,0.5,0.1666666666666666,79112.62424242424,0,0,0.56938923628451,2,0,0.4350957413921999,0.0,-1500.0,-1500.0,0.5004191563280295,TARGET_WITH_PERSONALIZED_OFFER,37.612,56.938923628451,56.276,0.0,50.041915632802954,HIGH
100004,Hospitality,North,Small,7173199.0,116,26,0,9,3,3,4,0,Travel_Corporate,Email,29,26.3,0,0.0,900,-900.0,0,0,0,0,2026-02-15,1.0,0.4,61837.9224137931,1,1,0.8138815746286262,4,0,0.4657336143537421,0.0,-900.0,-900.0,0.7619457085828818,PRIORITIZE_HIGH_VALUE_OUTREACH,63.986,81.38815746286262,85.874,0.0,76.19457085828819,VERY_HIGH
100005,Financial Services,North,Micro,4795923.0,536,16,1,9,3,1,0,0,Cashback_Business,Partner,116,18.3,0,0.0,2200,-2200.0,0,0,0,0,2026-05-04,0.3333333333333333,0.0,8947.617537313432,0,0,0.3626959080533742,3,0,0.4582279819130195,0.0,-2200.0,-2200.0,0.3450501586240184,NURTURE_AND_RETARGET,29.206,36.26959080533742,39.808,0.0,34.505015862401834,MEDIUM
100006,Healthcare,West,Large,7811531.0,40,6,1,5,9,1,4,0,Business_Premium,Paid Search,107,30.3,0,0.0,2800,-2800.0,0,0,0,0,2026-02-27,0.1111111111111111,0.6666666666666666,195288.275,0,1,0.475222466759781,4,0,0.5411662391582194,0.0,-2800.0,-2800.0,0.4698081100419015,NURTURE_AND_RETARGET,18.628,47.5222466759781,95.38,0.0,46.980811004190144,MEDIUM
100007,Hospitality,West,Micro,409271.0,597,25,0,11,4,1,4,1,Business_Premium,Partner,32,24.1,1,12061.61,2200,9861.61,0,0,0,0,2026-03-10,0.25,0.3333333333333333,685.5460636515913,0,1,0.6983881134140956,4,0,0.4675636100210443,8423.685052636589,6223.685052636589,6223.685052636589,0.719664651036343,TARGET_WITH_PERSONALIZED_OFFER,72.108,69.83881134140955,76.506,0.0,71.9664651036343,HIGH
100008,Education,West,Large,3074470.0,868,20,0,8,4,3,4,0,Enterprise_Expansion,Email,29,26.7,0,0.0,900,-900.0,0,0,0,0,2026-07-21,0.75,0.4444444444444444,3542.016129032258,1,1,0.7766118609315843,4,0,0.4594818948779316,0.0,-900.0,-900.0,0.7479943374192128,TARGET_WITH_PERSONALIZED_OFFER,63.986,77.66118609315843,87.28399999999999,0.0,74.79943374192129,HIGH
100009,Professional Services,North,Micro,955474.0,1351,10,0,4,1,1,2,0,Cashback_Business,Sales Outreach,9,10.9,0,0.0,4200,-4200.0,0,0,0,0,2026-07-04,1.0,0.4,707.2346410066617,1,0,0.274974348312713,3,0,0.4958521711089339,0.0,-4200.0,-4200.0,0.1557174567407208,LOW_PRIORITY,6.474,27.4974348312713,4.66,0.0,15.571745674072085,LOW
100010,Manufacturing,South,Medium,5134762.0,887,1,1,6,3,2,0,1,Startup_Accelerator,Partner,92,18.4,1,103290.98,2200,101090.98,0,0,0,0,2026-01-22,0.6666666666666666,0.0,5788.908680947013,0,0,0.2384812627556318,1,0,0.4503412246926641,24632.96334166671,22432.96334166671,22432.96334166671,0.4638185682400343,NURTURE_AND_RETARGET,78.804,23.84812627556318,40.344,0.0,46.381856824003435,MEDIUM
100011,Education,North,Small,1282334.0,166,11,1,12,2,2,6,0,Cashback_Business,Paid Search,97,34.0,1,38551.8,2800,35751.8,0,0,0,0,2026-03-01,1.0,0.4615384615384615,7724.903614457831,0,1,0.7659002717467701,4,1,0.5911467301725691,29526.834096327133,26726.834096327133,26726.834096327133,0.8228751222860464,PRIORITIZE_HIGH_VALUE_OUTREACH,80.24799999999999,76.590027174677,98.676,0.0,82.28751222860465,VERY_HIGH
100012,Education,West,Small,8187594.0,622,12,1,3,6,3,1,0,Enterprise_Expansion,Email,71,24.1,0,0.0,900,-900.0,0,0,0,0,2026-05-21,0.5,0.25,13163.334405144697,0,1,0.471485920119416,2,0,0.4673214768601799,0.0,-900.0,-900.0,0.5891316640537372,TARGET_WITH_PERSONALIZED_OFFER,63.986,47.148592011941595,76.506,0.0,58.91316640537372,HIGH
100013,Healthcare,South,Micro,2308809.0,110,20,1,4,3,3,4,1,Enterprise_Expansion,Web,29,27.3,0,0.0,1100,-1100.0,0,0,0,0,2026-08-19,1.0,0.8,20989.17272727273,1,1,0.7568606345116591,4,0,0.4926552360468361,0.0,-1100.0,-1100.0,0.7045412855302466,TARGET_WITH_PERSONALIZED_OFFER,52.94799999999999,75.68606345116591,89.318,0.0,70.45412855302466,HIGH
100014,Logistics,East,Micro,966270.0,1219,12,1,5,5,3,3,1,Business_Premium,Email,13,28.5,1,32266.49,900,31366.49,0,0,0,0,2026-01-15,0.6,0.5,792.6743232157506,1,1,0.7229076152298473,2,0,0.4879581328015168,23325.69133773772,22425.69133773772,22425.69133773772,0.7855644268534312,PRIORITIZE_HIGH_VALUE_OUTREACH,78.8,72.29076152298472,92.228,0.0,78.55644268534311,VERY_HIGH
